LoanID;Title;Genre;Category;Publisher;Author;NumberOfPages;OnLoan;Stock;Language;YearOfPublication
LOAN_000000000001373;Hayat?m Bir Ta?ral?n?n Hikayesi;Roman;Rus Edebiyat?;Can Yay?nlar?;Anton Çehov;;0;0;Türkçe;44529,40117
LOAN_000000000001374;Hayat?n Dürbünümde K?rk Sene;Roman;Türk Edebiyat?;Can Yay?nlar?;Ay?e Kulin;;0;0;Türkçe;44529,37814
LOAN_000000000001375;Hayat?n ?çinden;Roman;Türk Edebiyat?;Can Yay?nlar?;Cüneyd Suavi;;0;0;Türkçe;45586,5469
LOAN_000000000001376;Hayat?n ?çinden Türkçe Dualar;Roman;Din ve Mitoloji;Can Yay?nlar?;Kahraman Yusufo?lu;;0;0;Türkçe;44529,39862
LOAN_000000000001377;Hayat?n Manevi Boyutlar?;Roman;Tarih ve Co?rafya;Tedev Yay?nlar?;Bekir S?tk? Erdo?an,Ömür Ceylan,Hakan Poyraz,Hüsrev Atemi,F?rat K?z?ltu?,Fatma K?z?l?y?k Arbaroso?l?;;0;0;Türkçe;44529,39978
LOAN_000000000001378;Hayat?n Mucizeleri;Roman;Alman Edebiyat?;Can Yay?nlar?;Stefan Zweing;;0;0;Türkçe;44529,39734
LOAN_000000000001379;Hayatlar?yla Yol Gösterenler;Roman;Türk Edebiyat?;Tedev Yay?nlar?;Sabahattin Zaim,Ahmed Yüksel Özemre,M.Orhan Okay,Zeynep Kerman,Salih Tuü,Vahit Türkk;136;0;0;Türkçe;44529,38595
LOAN_000000000001380;Hayk?r??;Roman;?iir;Can Yay?nlar?;Muhsin Durucan;;0;0;Türkçe;44526,43691
LOAN_000000000001381;Haylaz Kalbim;Roman;?iir;Do?an Kitap;Ay?e Aral;267;0;0;Türkçe;44525,38089
LOAN_000000000001382;Hayletler De?irmeni;Roman;Dünya Edebiyat?;Can Yay?nlar?;Thomas Brezina;;0;0;Türkçe;44901,38593
LOAN_000000000001383;Hayvan  Çifli?i;Roman;?ngiliz Edebiyat?;Can Yay?nlar?;George Orwell;;0;0;Türkçe;45586,54681
LOAN_000000000001384;Hayvan Deyip Geçme;Roman;Türk Edebiyat?;Can Yay?nlar?;Aziz Nesin;;0;0;Türkçe;45586,54681
LOAN_000000000001385;Hayvan Okulu;Roman;Türk Edebiyat?;T.C. ?stanbul Valili?i;Emir Ali Ergat;286;0;0;Türkçe;45586,54681
LOAN_000000000001386;Hazan Mevsimi;Roman;Türk Edebiyat?;Be;?brahim Yasak;114;0;0;Türkçe;45586,54681
LOAN_000000000001387;Hazan ?iirlerim;Roman;?iir;Can Yay?nlar?;Kamil Çak?r;;0;0;Türkçe;45586,54681
LOAN_000000000001388;Hazan ?iirlerim;Roman;?iir;Erguvan Yay?nevi;Kamil Çak?r;96;0;0;Türkçe;45586,54681
LOAN_000000000001389;Hazret-I Ali;Roman;Türk Edebiyat?;T.C. ?stanbul Valili?i;Necip Faz?l K?sakürek;;0;0;Türkçe;45586,54681
LOAN_000000000001390;Hazreti Ali;Roman;Türk Edebiyat?;T.C. ?stanbul Valili?i;Necip Faz?l K?sakürek;343;0;0;Türkçe;45586,54681
